time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
6.3,3.7291,0,0,0,0,0,0,0,0,52.5487,52.5487,54.2301,54.2301,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.0605
6.302,3.7291,0,0,0,0,0,0,0,0,52.5487,52.5487,54.2301,54.2301,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.068
6.304,3.7291,0,0,0,0,0,0,0,0,52.5487,52.5487,54.2301,54.2301,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.0754
6.306,3.7291,0,0,0,0,0,0,0,0,52.5487,52.5487,54.2301,54.2301,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.0829
6.308,3.7291,0,0,0,0,0,0,0,0,52.5487,52.5487,54.2301,54.2301,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.0904
6.31,3.7308,0,0,0,0,0,0,0,0,52.5255,52.5255,54.2107,54.2107,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.0978
6.312,3.7308,0,0,0,0,0,0,0,0,52.5255,52.5255,54.2107,54.2107,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.1053
6.314,3.7308,0,0,0,0,0,0,0,0,52.5255,52.5255,54.2107,54.2107,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.1128
6.316,3.7308,0,0,0,0,0,0,0,0,52.5255,52.5255,54.2107,54.2107,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.1202
6.318,3.7308,0,0,0,0,0,0,0,0,52.5255,52.5255,54.2107,54.2107,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.1277
6.32,3.7262,0,0,0,0,0,0,0,0,52.6097,52.6097,54.2985,54.2985,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.1351
6.322,3.7262,0,0,0,0,0,0,0,0,52.6097,52.6097,54.2985,54.2985,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.1426
6.324,3.7262,0,0,0,0,0,0,0,0,52.6097,52.6097,54.2985,54.2985,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.1501
6.326,3.7262,0,0,0,0,0,0,0,0,52.6097,52.6097,54.2985,54.2985,0,0,186.3916,186.3916,0,0,0,0,0,0,0,0,0,17.1575
