model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size;dropout_rate
LSTM;300;2;30;144;1;5;12;1;0
LSTM;301;2;40;144;1;5;12;1;0
LSTM;302;2;50;144;1;5;12;1;0
LSTM;303;2;60;144;1;5;12;1;0
LSTM;304;2;70;144;1;5;12;1;0
LSTM;305;2;30;160;1;5;12;1;0
LSTM;306;2;40;160;1;5;12;1;0
LSTM;307;2;50;160;1;5;12;1;0
LSTM;308;2;60;160;1;5;12;1;0
LSTM;309;2;70;160;1;5;12;1;0
LSTM;310;2;30;96;2;5;12;1;0.1
LSTM;311;2;40;96;2;5;12;1;0.1
LSTM;312;2;50;96;2;5;12;1;0.1
LSTM;313;2;60;96;2;5;12;1;0.1
LSTM;314;2;70;96;2;5;12;1;0.1
LSTM;315;2;30;112;2;5;12;1;0.1
LSTM;316;2;40;112;2;5;12;1;0.1
LSTM;317;2;50;112;2;5;12;1;0.1
LSTM;318;2;60;112;2;5;12;1;0.1
LSTM;319;2;70;112;2;5;12;1;0.1
LSTM;320;2;30;128;2;5;12;1;0.1
LSTM;321;2;40;128;2;5;12;1;0.1
LSTM;322;2;50;128;2;5;12;1;0.1
LSTM;323;2;60;128;2;5;12;1;0.1
LSTM;324;2;70;128;2;5;12;1;0.1
LSTM;325;2;30;144;2;5;12;1;0.1
LSTM;326;2;40;144;2;5;12;1;0.1
LSTM;327;2;50;144;2;5;12;1;0.1
LSTM;328;2;60;144;2;5;12;1;0.1
LSTM;329;2;70;144;2;5;12;1;0.1
LSTM;330;2;30;160;2;5;12;1;0.1
LSTM;331;2;40;160;2;5;12;1;0.1
LSTM;332;2;50;160;2;5;12;1;0.1
LSTM;333;2;60;160;2;5;12;1;0.1
LSTM;334;2;70;160;2;5;12;1;0.1
