time,model_GRU_lon_0.pt,model_GRU_lon_1.pt,model_GRU_lon_10.pt,model_GRU_lon_11.pt,model_GRU_lon_12.pt,model_GRU_lon_13.pt,model_GRU_lon_14.pt,model_GRU_lon_15.pt,model_GRU_lon_16.pt,model_GRU_lon_17.pt,model_GRU_lon_18.pt,model_GRU_lon_19.pt,model_GRU_lon_2.pt,model_GRU_lon_20.pt,model_GRU_lon_21.pt,model_GRU_lon_22.pt,model_GRU_lon_23.pt,model_GRU_lon_24.pt,model_GRU_lon_3.pt,model_GRU_lon_4.pt,model_GRU_lon_5.pt,model_GRU_lon_6.pt,model_GRU_lon_7.pt,model_GRU_lon_8.pt,model_GRU_lon_9.pt,veh_u,veh_v
0.0,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
0.01,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
0.02,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
0.03,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
0.04,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
0.05,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
0.06,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
0.07,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
0.08,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
0.09,0.3447759747505188,0.49807050824165344,0.25560009479522705,0.32699474692344666,0.14618127048015594,0.40639206767082214,0.520531177520752,0.2689119577407837,0.31569913029670715,0.30429014563560486,0.44768768548965454,0.5165267586708069,0.5012354850769043,0.207252636551857,0.21725066006183624,0.33689558506011963,0.38511592149734497,0.9858406782150269,0.5998305678367615,0.24221797287464142,0.3100971579551697,0.3324778378009796,0.432247519493103,0.18076367676258087,0.2645902633666992,0.0,0.0
