time,model_LSTM_lon_32.pt,model_LSTM_lon_33.pt,model_LSTM_lon_34.pt,model_LSTM_lon_35.pt,model_LSTM_lon_36.pt,veh_u,veh_v
0.0,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0266,0.0
0.01,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.02313,0.0
0.02,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.01969,0.0
0.03,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.01629,0.0
0.04,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.01296,0.0
0.05,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.00225,0.0
0.06,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.0
0.07,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.0
0.08,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.0018
0.09,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.00349
0.1,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.00507
0.11,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.00653
0.12,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.00787
0.13,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.00907
0.14,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01014
0.15,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01107
0.16,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01186
0.17,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01249
0.18,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01299
0.19,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01334
0.2,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01355
0.21,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01362
0.22,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01356
0.23,-0.015779487788677216,0.30193620920181274,0.4523414075374603,0.5174111127853394,0.09921905398368835,0.0,0.01337
