time,veh_u,veh_v,model_LSTM_lon_32.pt,model_LSTM_lon_33.pt,model_LSTM_lon_34.pt,model_LSTM_lon_35.pt,model_LSTM_lon_36.pt,model_LSTM_lon_37.pt,model_LSTM_lon_38.pt,model_LSTM_lon_39.pt,model_LSTM_lon_40.pt,model_LSTM_lon_41.pt,model_LSTM_lon_42.pt,model_LSTM_lon_43.pt,model_LSTM_lon_44.pt,model_LSTM_lon_45.pt,model_LSTM_lon_46.pt,model_LSTM_lon_47.pt,model_LSTM_lon_48.pt,model_LSTM_lon_49.pt,model_LSTM_lon_50.pt,model_LSTM_lon_51.pt,model_LSTM_lon_52.pt,model_LSTM_lon_53.pt,model_LSTM_lon_54.pt,model_LSTM_lon_55.pt,model_LSTM_lon_56.pt,model_LSTM_lon_57.pt,model_LSTM_lon_58.pt,model_LSTM_lon_59.pt,model_LSTM_lon_60.pt,model_LSTM_lon_61.pt
0.0,0.02213,0.02112,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
0.01,0.02182,0.01911,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
0.02,0.02141,0.01713,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
0.03,0.02088,0.01519,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
0.04,0.02024,0.0133,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
0.05,0.01948,0.01147,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
0.06,0.01861,0.00972,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
0.07,0.01763,0.00805,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
0.08,0.01655,0.00649,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
0.09,0.01536,0.00502,0.024735651910305023,0.2975488305091858,0.30671587586402893,0.2067537158727646,0.022202298045158386,0.2531639337539673,0.04635501652956009,0.21169042587280273,0.015761062502861023,0.04695529490709305,0.026211239397525787,0.0928315743803978,0.01960262656211853,0.04137472063302994,1.1667829751968384,0.08905311673879623,-0.010482817888259888,-0.011032938957214355,-0.03419458866119385,-0.003545716404914856,-0.004057753831148148,0.004466608166694641,0.006396185606718063,0.05662202090024948,-0.02716563642024994,0.038864098489284515,0.01588870957493782,0.011608179658651352,0.022464556619524956,0.3045993447303772
