time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref
0.78 sec,0,0.00287,-0.001684,-0.489232812308924,-0.00168400000061008,0
0.79 sec,0,0.00267,-0.00170084,-0.493057109695704,-0.00170083999884612,0
0.8 sec,0,0.00244,-0.00170926,-0.489232854125418,-0.00170926000035079,0
0.81 sec,0,0.00218,0,-0.493059751357147,9.875850137675e-13,0
0.82 sec,0,0.00195,0,-0.489232553505424,-7.78478843888042e-13,0
0.83 sec,0,0.00164,0,-0.493057182479053,7.29587397441112e-13,0
0.84 sec,0,0.00124,0,-0.489230141270639,-7.78474507079352e-13,0
0.85 sec,0,0.00088,0,-0.493057404214467,7.28422530626993e-13,0
0.86 sec,0,0.0005,0,-0.489232783760014,-7.78474507079352e-13,0
0.87 sec,0,0.00011,0,-0.493057112582088,7.28423397988731e-13,0
0.88 sec,0,0,0,-0.489232812095438,-7.78474507079352e-13,0
0.89 sec,0,0,-0.00170926,-0.493057109690033,-0.00170925999910065,0
0.9 sec,0,0,0,-0.489232812316895,-5.1926258431978e-13,0
0.91 sec,0,0,0,-0.49305710969185,7.28365284752286e-13,0
0.92 sec,0,0,0,-0.48923281231007,-7.78465833461972e-13,0
0.93 sec,0,0,0,-0.493057109695274,7.28408652839185e-13,0
0.94 sec,0,0,0,-0.48923281230906,-7.78472772355876e-13,0
0.95 sec,0,0,0,-0.493057109695654,7.28419928541779e-13,0
0.96 sec,0,0,0,-0.489232812308955,-7.78474507079352e-13,0
0.97 sec,0,0,0,-0.493057109695693,7.28422530626993e-13,0
0.98 sec,0,0,-0.00167558,-0.489232812308944,-0.00167558000061092,0
0.99 sec,0,0,0,-0.493057109695697,9.82528294835028e-13,0
1 sec,0,0,-0.00167558,-0.489232812308943,-0.00167558000061093,0
1.01 sec,0,0,-0.00167558,-0.493057109695697,-0.0016755799988499,0
1.02 sec,0,0,-0.00167558,-0.489232812308943,-0.00167558000035683,0
1.03 sec,0,0,-0.00167558,-0.493057109695697,-0.00167557999884996,0
1.04 sec,0,0,-0.00167558,-0.489232812308943,-0.00167558000035682,0
1.05 sec,0,0,-0.00167558,-0.493057109695697,-0.00167557999884997,0
1.06 sec,0,0,-0.00167558,-0.489232812308943,-0.00167558000035681,0
