time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref
0 sec,0,0.0047,0,-0.758278145695364,-1.51655489381841e-14,0
0.01 sec,0,0.00433,0,-0.758278145695364,1.74604902612873e-20,0
0.02 sec,0,0.00397,0,-0.758278145695364,3.11174489696909e-20,0
0.03 sec,0,0.00362,0,-0.758278145695364,5.77656410897578e-20,0
0.04 sec,0,0.00327,-0.001684,-0.758278145695364,-0.0016839999998316,0
0.05 sec,0,0.00294,-0.001684,-0.758278145695364,-0.00168399999957621,0
0.06 sec,0,0.00263,0,-0.758278145695364,2.5538859221852e-13,0
0.07 sec,0,0.00233,0,-0.758278145695364,1.70903786359581e-18,0
0.08 sec,0,0.00204,0,-0.758278145695364,5.12154501090372e-18,0
0.09 sec,0,0.00178,0,-0.758278145695364,1.6198340445936e-17,0
0.1 sec,0,0.00153,0,-0.758278145695364,5.27141425603057e-17,0
0.11 sec,0,0.00131,0,-0.758278137417219,1.12417365726643e-15,0
0.12 sec,0,0.00111,0,-0.75827811427046,-2.51709053990593e-15,0
0.13 sec,0,0.00093,0,-0.7582780984273,1.0191785024434e-14,0
0.14 sec,0,0.00077,0,-0.758278042225989,-2.10502730697837e-14,0
0.15 sec,0,0.00063,0,-0.758278045221223,5.40436835907987e-14,0
0.16 sec,0,0.00052,0,-0.758277904242165,-1.11145034148441e-13,0
0.17 sec,0,0.00043,0,-0.758278049107739,1.07350543385176e-13,0
0.18 sec,0,0.00037,0,-0.758277587057686,-1.75414153688602e-13,0
0.19 sec,0,0.00033,0,-0.758278349696727,1.45985870961263e-13,0
0.2 sec,0,0.0003,0,-0.758276609578326,-2.11647973452633e-13,0
0.21 sec,0,0.0003,-0.00170926,-0.75827987625452,-0.00170925999965095,0
0.22 sec,0,0.00032,0,-0.758273155196128,1.57487412867641e-14,0
0.23 sec,0,0.00036,0,-0.75828609604209,2.07353231806984e-13,0
0.24 sec,0,0.00041,-0.00170084,-0.758260466569363,-0.00170084000010143,0
0.25 sec,0,0.00049,-0.00167558,-0.758309835056322,-0.00167557999933909,0
0.26 sec,0,0.00057,0,-0.758211686879865,-4.66298549252342e-14,0
0.27 sec,0,0.00067,0,-0.75840093694324,2.64604310684646e-13,0
0.28 sec,0,0.00078,-0.00170926,-0.758003499781834,-0.00170926000015666,0
0.29 sec,0,0.0009,-0.00170084,-0.758822214237672,-0.00170083999928155,0
0.3 sec,0,0.00103,0,-0.756977397837236,-9.41944005433681e-14,0
0.31 sec,0,0.00117,0,-0.513338015667478,3.13664892670484e-13,0
0.32 sec,0,0.0013,0,-0.489746357015889,-3.76645763189298e-13,0
0.33 sec,0,0.00144,0,-0.490471284826716,3.3938260188271e-13,0
0.34 sec,0,0.00158,0,-0.492032010389955,-4.02348293571109e-13,0
0.35 sec,0,0.00169,0,-0.490181457551775,3.60414822986321e-13,0
0.36 sec,0,0.00184,0,-0.492109648558325,-4.22207407924091e-13,0
0.37 sec,0,0.00196,0,-0.49012927278886,3.82611910904052e-13,0
0.38 sec,0,0.00207,0,-0.49216584146424,-4.42064787553598e-13,0
0.39 sec,0,0.00217,0,-0.490078849965413,4.03639795198973e-13,0
0.4 sec,0,0.00224,0,-0.492219426850384,-4.64257972343507e-13,0
0.41 sec,0,0.00229,-0.00167557999999999,-0.490023302901115,-0.0016755799994101,0
0.42 sec,0,0.00234,0,-0.492268252642551,-2.30006118318027e-13,0
0.43 sec,0,0.00235,0,-0.489973623576193,4.43319859988467e-13,0
0.44 sec,0,0.00234,0,-0.492321744787632,-5.02793987000594e-13,0
0.45 sec,0,0.0023,0,-0.489926082079691,4.608717921184e-13,0
0.46 sec,0,0.00222,0,-0.492367045959208,-5.20322500363601e-13,0
0.47 sec,0,0.00214,-0.00167557999999999,-0.489882014888321,-0.0016755799993552,0
0.48 sec,0,0.00197,0,-0.492409344084166,-2.83737443262932e-13,0
0.49 sec,0,0.00179,0,-0.489838347829696,4.97054654380324e-13,0
0.5 sec,0,0.00157,-0.001684,-0.492459567093635,-0.00168400000038696,0
0.51 sec,0,0.00132,0,-0.489793823025196,7.68826842467707e-13,0
0.52 sec,0,0.00103,0,-0.492501917000469,-5.71729295850698e-13,0
0.53 sec,0,0.00069,0,-0.489752763672219,5.29815774585884e-13,0
0.54 sec,0,0.00032,-0.00167558,-0.492543875862712,-0.00167558000041935,0
0.55 sec,0,0,-0.001684,-0.489714389065867,-0.00168399999903249,0
0.56 sec,0,0,-0.00170926,-0.492582908722942,-0.00170926000017579,0
0.57 sec,0,0,-0.00170083999999998,-0.489676255371059,-0.00170083999901287,0
0.58 sec,0,0,0,-0.492616597718678,-3.58173560255359e-13,0
0.59 sec,0,0,0,-0.489641423221365,5.74155306631852e-13,0
0.6 sec,0,0,0,-0.49265796027284,-6.3245155640379e-13,0
0.61 sec,0,0,0,-0.489600518322573,5.90546708756357e-13,0
0.62 sec,0,0,0,-0.492699959348349,-6.47643397244657e-13,0
0.63 sec,0,0,0,-0.489562161376641,6.04575417506581e-13,0
0.64 sec,0,0,0,-0.492736397376369,-6.62830901276834e-13,0
0.65 sec,0,0,0,-0.48952440272167,6.1976639098571e-13,0
0.66 sec,0,0,0,-0.49277539478889,-6.76848334324465e-13,0
0.67 sec,0,0,-0.00167558,-0.489489030555638,-0.00167557999919865,0
0.68 sec,0,0,0,-0.492811494370092,-4.36760003164061e-13,0
0.69 sec,0,0,0,-0.489453882728322,6.45418614386717e-13,0
0.7 sec,0,0,0,-0.492842205716205,-7.02537854280205e-13,0
0.71 sec,0,0,0,-0.489424714656235,6.60644282335365e-13,0
0.72 sec,0,0,0,-0.492880339391575,-7.17729695121072e-13,0
0.73 sec,0,0,0,-0.489386759157528,6.73506389547995e-13,0
0.74 sec,0,0,0,-0.492914068016521,-7.30580526631108e-13,0
0.75 sec,0,0,0,-0.489354615917013,6.87529026766054e-13,0
0.76 sec,0,0,0,-0.492949860024455,-7.44597959678739e-13,0
0.77 sec,0,0,0,-0.489319576501004,7.00381592999566e-13,0
0.78 sec,0,0,0,-0.492983246369723,-7.56279587565967e-13,0
0.79 sec,0,0,0,-0.489290111914803,7.1323329187134e-13,0
0.8 sec,0,0,0,-0.493016117984652,-7.70297020613597e-13,0
0.81 sec,0,0,0,-0.489255378907124,7.26085858104852e-13,0
0.82 sec,0,0,-1.8976598070708e-17,-0.493049445183202,-7.8082939419799e-13,0
0.83 sec,0,0,-0.00170926,-0.489228519660385,-0.00170925999909247,0
0.84 sec,0,0,-0.00167558,-0.493076710479401,-0.00167558000036689,0
0.85 sec,0,0,0,-0.48919706053476,1.00466510111197e-12,0
0.86 sec,0,0,0,-0.493112434527172,-8.06512842621565e-13,0
0.87 sec,0,0,0,-0.489164697008975,7.62299078027606e-13,0
0.88 sec,0,0,-0.00170084,-0.493142876930715,-0.00170084000064694,0
0.89 sec,0,0,-0.00170084,-0.489138100239398,-0.00170083999880033,0
0.9 sec,0,0,-0.00170084,-0.493167399137258,-0.00170084000039953,0
0.91 sec,0,0,0,-0.489112175765616,1.04121745947428e-12,0
0.92 sec,0,0,0,-0.493197197112665,-8.39221053761108e-13,0
0.93 sec,0,0,0,-0.489083078577956,7.95015095422791e-13,0
0.94 sec,0,0,0,-0.493227252940151,-8.48562539679243e-13,0
0.95 sec,0,0,0,-0.489059156995066,8.03197786058973e-13,0
0.96 sec,0,0,0,-0.493248904053541,-8.60242432842995e-13,0
0.97 sec,0,0,0,-0.489030914444663,8.16052087015962e-13,0
0.98 sec,0,0,0,-0.493281577028968,-8.7075659183089e-13,0
0.99 sec,0,0.00109,0,-0.489004130721546,8.25400511828001e-13,0
1 sec,0,0.00208,0,-0.493306102598333,-8.80101547195977e-13,0
1.01 sec,0,0.00304,0,-0.488980811511962,8.34747201916564e-13,0
1.02 sec,0,0.00397,0,-0.49333025222108,-8.8944823728454e-13,0
1.03 sec,0,0.00487,0,-0.488957532943228,8.44095626728603e-13,0
1.04 sec,0,0.00571,0,-0.493354455633419,-8.9996066154896e-13,0
1.05 sec,0,0.00651,0,-0.488931588684278,8.53442316817166e-13,0
1.06 sec,0,0.00724,0,-0.493378856163157,-9.08138148014714e-13,0
1.07 sec,0,0.00791,0,-0.488910961867855,8.62790741629205e-13,0
1.08 sec,0,0.00851,0,-0.493402721976036,-9.17483103379801e-13,0
1.09 sec,0,0.00903,0,-0.488887726234857,8.72137431717768e-13,0
1.1 sec,0,0.00948,0,-0.49342688389196,-9.26828058744888e-13,0
1.11 sec,0,0.00985,0,-0.488864467237819,8.81485856529807e-13,0
1.12 sec,0,0.01015,-0.001684,-0.493451053379052,-0.00168400000076777,0
1.13 sec,0,0.01032,-0.00170084,-0.488841161832762,-0.00170083999868487,0
1.14 sec,0,0.01047,-0.00170084,-0.493472533873112,-0.00170084000051635,0
1.15 sec,0,0.01054,-0.00170083999999996,-0.488820786586423,-0.00170083999867417,0
1.16 sec,0,0.01053,0,-0.49349369272023,-6.94604096462825e-13,0
1.17 sec,0,0.01044,0,-0.488800549800684,9.08280395339744e-13,0
1.18 sec,0,0.01028,-0.00170084,-0.493520184379906,-0.00170084000079178,0
1.19 sec,0,0.01006,0,-0.488777033154652,1.1744511613232e-12,0
1.2 sec,0,0.00977,0,-0.493541700467008,-9.70064306660134e-13,0
1.21 sec,0,0.00944,0,-0.488756615144414,9.23552900822244e-13,0
1.22 sec,0,0.00906,0,-0.493560232595441,-9.78229650061557e-13,0
1.23 sec,0,0.00863,0,-0.488736540489482,9.31730387287999e-13,0
1.24 sec,0,0.00817,0,-0.493581375943884,-9.86405401803836e-13,0
1.25 sec,0,0.00769,0,-0.488716271391224,9.41078812100038e-13,0
1.26 sec,0,0.00718,0,-0.493605187278546,-9.94582888269591e-13,0
1.27 sec,0,0.00665,0,-0.488695696455895,9.49258033289269e-13,0
1.28 sec,0,0.00612,0,-0.493626333151331,-1.00159290583601e-12,0
1.29 sec,0,0.00558,0,-0.488677994461894,9.56268050855691e-13,0
1.3 sec,0,0.00504,0,-0.493644576675369,-1.00977039230177e-12,0
1.31 sec,0,0.00452,0,-0.488657907627411,9.63279803145589e-13,0
1.32 sec,0,0.00401,0,-0.493663093568556,-1.01794787876752e-12,0
1.33 sec,0,0.00351,0,-0.488637797012371,9.70291555435487e-13,0
1.34 sec,0,0.00304,0,-0.493681557325457,-1.02495616161047e-12,0
1.35 sec,0,0.00259,0,-0.488620417199411,9.78472511348194e-13,0
1.36 sec,0,0.00217,0,-0.493702420672805,-1.03313364807622e-12,0
1.37 sec,0,0.00179,0,-0.488600200425055,9.87819201436757e-13,0
1.38 sec,0,0.00149999999999999,-3.79531961414159e-17,-0.493726187461181,-1.04018182955912e-12,0
1.39 sec,0,0.00116999999999999,-0.00170926,-0.488582263704473,-0.00170925999883424,0
1.4 sec,0,0.000879999999999993,-0.00170083999999996,-0.49374447439214,-0.00170084000061899,0
1.41 sec,0,0.00058,0,-0.488562246269439,1.26085947238508e-12,0
1.42 sec,0,0.00038,-0.00170084,-0.493765583328928,-0.00170084000088526,0
1.43 sec,0,0.0002,0,-0.488544513251373,1.26676967526773e-12,0
1.44 sec,0,0,0,-0.493781089449195,-1.06118759612972e-12,0
1.45 sec,0,0,0,-0.488529986394046,1.01470047642049e-12,0
1.46 sec,0,0,-0.00170084,-0.493796239568089,-0.00170084000089693,0
1.47 sec,0,0,0,-0.488515436443401,1.27729944676691e-12,0
1.48 sec,0,0,0,-0.493808689797975,-1.07170175511762e-12,0
1.49 sec,0,0,0,-0.488503754703664,1.02288490178015e-12,0
1.5 sec,0,0,-0.00170084,-0.493818114344213,-0.00170084000090511,0
1.51 sec,0,0,0,-0.488495029958697,1.28431293378028e-12,0
1.52 sec,0,0,0,-0.493827208110709,-1.07871177268404e-12,0
1.53 sec,0,0.0001,0,-0.48848627806589,1.02872918517072e-12,0
1.54 sec,0,0.0002,0,-0.493833600558967,-1.08103283269489e-12,0
1.55 sec,0,0.00032,0,-0.488480511116629,1.03222812242176e-12,0
1.56 sec,0,0.00044,0,-0.493842363789155,-1.08453697411637e-12,0
1.57 sec,0,0.00056,0,-0.48847185041206,1.03573226384324e-12,0
1.58 sec,0,0.00069,0,-0.493851389567835,-1.08687364663851e-12,0
1.59 sec,0,0.00081,0,-0.488465833220919,1.03923813998819e-12,0
1.6 sec,0,0.00094,0,-0.49386018059509,-1.09037778805998e-12,0
1.61 sec,0,0.00106,0,-0.488457171699132,1.04274228140966e-12,0
1.62 sec,0,0.00117,0,-0.493869207099601,-1.09271446058212e-12,0
1.63 sec,0,0.00126,0,-0.488451036353006,1.04391148503247e-12,0
1.64 sec,0,0.00136,0,-0.493872728334288,-1.0962186020036e-12,0
1.65 sec,0,0.00145,0,-0.488442938810993,1.04858656480022e-12,0
1.66 sec,0,0.00153,0,-0.493884401373889,-1.09972447814854e-12,0
1.67 sec,0,0.00162,0,-0.488434003571872,1.05209244094517e-12,0
1.68 sec,0,0.00167,0,-0.493893458815533,-1.10206115067069e-12,0
1.69 sec,0,0.00172,0,-0.488427806311183,1.05209244094517e-12,0
1.7 sec,0,0.00176,0,-0.493894153240511,-1.10206115067069e-12,0
1.71 sec,0,0.00178,0,-0.488427741684899,1.05209244094517e-12,0
1.72 sec,0,0.0018,0,-0.493894159430377,-1.10206115067069e-12,0
1.73 sec,0,0.00181,0,-0.488427741351235,1.05209244094517e-12,0
1.74 sec,0,0.00181,-0.00170084,-0.493894159350341,-0.00170084000093198,0
1.75 sec,0,0.00181,0,-0.488427741385742,1.31002153569426e-12,0
1.76 sec,0,0.0018,0,-0.493894159334534,-1.10207849790545e-12,0
1.77 sec,0,0.00179,0,-0.488427741389964,1.05209937983908e-12,0
1.78 sec,0,0.00178,0,-0.493894159332859,-1.10206115067069e-12,0
1.79 sec,0,0.00178,-0.00170926,-0.488427741390398,-0.00170925999877698,0
1.8 sec,0,0.00177,0,-0.493894094900153,-8.41687830543947e-13,0
1.81 sec,0,0.00177,0,-0.48843041514699,1.05200917421833e-12,0
1.82 sec,0,0.00178,0,-0.493893857131993,-1.10205247705331e-12,0
1.83 sec,0,0.00179,0,-0.488427709876169,1.05090415536413e-12,0
1.84 sec,0,0.00181,0,-0.493891456675372,-1.10089194704788e-12,0
1.85 sec,0,0.00185,0,-0.488430606522957,1.05091803315194e-12,0
1.86 sec,0,0.00189,0,-0.493891130625525,-1.10089194704788e-12,0
1.87 sec,0,0.00194,0,-0.488430637211449,1.05092323732237e-12,0
1.88 sec,0,0.00199,0,-0.493891127528269,-1.10089194704788e-12,0
1.89 sec,0,0.00206,0,-0.488430637421042,1.05092323732237e-12,0
1.9 sec,2.28483898467857e-16,0.00215,0,-0.493891191961259,-1.10206115067069e-12,0
1.91 sec,0.01029,0.00224,0,-0.488428023856726,1.05209244094517e-12,0
1.92 sec,0.01131,0.00235,0,-0.493894129364267,-1.10206115067069e-12,0
1.93 sec,0.01214,0.00245,0,-0.488427743791465,1.05209244094517e-12,0
1.94 sec,0.01294,0.00255,0,-0.493894159281956,-1.10206115067069e-12,0
1.95 sec,0.01371,0.00265,0,-0.488427741344855,1.05209244094517e-12,0
1.96 sec,0.01445,0.00275,0,-0.493894159360283,-1.10206115067069e-12,0
1.97 sec,0.01515,0.00283,0,-0.488427741382691,1.05209244094517e-12,0
1.98 sec,0.01582,0.0029,-0.001684,-0.493894159335809,-0.00168400000093366,0
1.99 sec,0.01645,0.00295,-0.00170926,-0.488427741389631,-0.00170925999852161,0
2 sec,0.01705,0.00298,0,-0.49389415933299,-8.42872646678039e-13,0
2.01 sec,0.01752,0.00298,-0.00169242,-0.488427741390364,-0.00169241999877874,0
2.02 sec,0.0182,0.00295,-0.00169242,-0.493894159332703,-0.00169242000067616,0
2.03 sec,0.01864,0.00289999999999999,-0.00169242,-0.488427741390438,-0.00169241999852212,0
2.04 sec,0.0193,0.00278,-0.00169242,-0.493894159332673,-0.00169242000067618,0
2.05 sec,0.01987,0.00262,-0.00169242,-0.488427741390445,-0.00169241999852212,0
2.06 sec,0.02048,0.00242,-0.00169242,-0.493894159332671,-0.00169242000067618,0
2.07 sec,0.02113,0.00217,-0.00169242,-0.488427741390446,-0.00169241999852212,0
2.08 sec,0.02185,0.00186,-0.00169242,-0.49389415933267,-0.00169242000067618,0
2.09 sec,0.02266,0.0015,-0.00169242,-0.488427741390446,-0.00169241999852212,0
2.1 sec,0.02359,0.00108,0,-0.49389415933267,-8.45419220740773e-13,0
2.11 sec,0.02466,0.0006,-0.00169242,-0.488427741390446,-0.00169241999877877,0
2.12 sec,0.0259,0,-0.00169242,-0.49389415933267,-0.00169242000067616,0
2.13 sec,0.02734,0,-0.00169242,-0.488427741390447,-0.00169241999852212,0
2.14 sec,0.029,0,0,-0.49389415933267,-8.45417486017297e-13,0
2.15 sec,0.03093,0,0,-0.488427801676286,1.05315756115942e-12,0
2.16 sec,0.03315,0,0,-0.493896858989746,-1.10322168067611e-12,0
2.17 sec,0.0357,0,0,-0.488424876570098,1.05323388899237e-12,0
2.18 sec,0.03861,0,0,-0.49389718810877,-1.10322688484654e-12,0
2.19 sec,0.04191,0,0,-0.48842484563949,1.05325470567408e-12,0
2.2 sec,0.04564,0,0,-0.493897191212004,-1.10322861957002e-12,0
2.21 sec,0.04983,0,0,-0.488424845434333,1.05325990984451e-12,0
2.22 sec,0.05451,0,0,-0.493897191193007,-1.10322861957002e-12,0
2.23 sec,0.05971,0,0,-0.488424845445773,1.05326164456798e-12,0
2.24 sec,0.06546,0,0,-0.49389719118744,-1.10322861957002e-12,0
2.25 sec,0.07179,0,0,-0.488424845447278,1.05326164456798e-12,0
2.26 sec,0.0772800000000004,0,-0.00170083999999992,-0.49389719118684,-0.00170084000093307,0
2.27 sec,0.08626,0,0,-0.488424845447433,1.31118900459359e-12,0
2.28 sec,0.0927700000000005,0,0,-0.493897191186779,-1.10324596680478e-12,0
2.29 sec,0.1033,0,0,-0.488424845447449,1.05326858346189e-12,0
2.3 sec,0.110870000000001,0,0,-0.493897191186773,-1.10323035429349e-12,0
2.31 sec,0.12301,0,0,-0.48842484544745,1.05326337929146e-12,0
2.32 sec,0.13389,0,-9.262e-05,-0.493897191186772,-9.26200010939668e-05,0
2.33 sec,0.14546,0,-0.00010104,-0.488424845447451,-0.000101039998922589,0
2.34 sec,0.15771,0,-8.42e-05,-0.493897191186772,-8.42000010794867e-05,0
2.35 sec,0.17064,0,-0.00170926,-0.48842484544745,-0.00170925999876305,0
2.36 sec,0.18425,0,-0.00171768,-0.493897191186772,-0.00171768000067226,0
2.37 sec,0.19852,0,-0.0017261,-0.48842484544745,-0.00172609999851373,0
2.38 sec,0.21344,0,-0.00177662,-0.487330689685799,-0.00177661999995287,0
2.39 sec,0.22899,0,-0.00179346,-0.481613376709857,-0.00179345999778861,0
2.4 sec,0.24515,0,0.002206465,-0.480851689611435,0.00220646500037096,0
2.41 sec,0.2619,0,0.003797845,-0.475009528990408,0.00379784500175928,0
2.42 sec,0.27922,0,0.003781005,-0.480499987848925,0.00378100499936578,0.0399
2.43 sec,0.29708,0,0.003772585,-0.475042921895073,0.0037725850015232,0.10159
2.44 sec,0.31545,0,0.002122265,-0.480496326713717,0.00212226499953549,0.1414
2.45 sec,0.33432,0,0.002113845,-0.220445867370036,0.00211384502995771,0.17377
2.46 sec,0.35365,0,0.003747325,-0.216681137344625,0.00374732502763725,0.20065
2.47 sec,0.37341,0,0.22384411,0.0991795816591785,0.223844110041608,0.21801
2.48 sec,0.39359,0,0.22384411,0.104394931234207,0.223844110020419,0.22308
2.49 sec,0.41414,0,0.22381885,0.105394476438816,0.223818850013561,0.228
2.5 sec,0.43506,0,0.26923892,0.26807741131936,0.269238920027704,0.24383
2.51 sec,0.452050000000001,0,0.267597020000006,0.274529934022709,0.267597020024748,0.263230000000002
2.52 sec,0.47791,0,0.369027905,0.408273153878884,0.369027905028333,0.30221
2.53 sec,0.495390000000001,0,0.369027905,0.418475050711601,0.369027905021867,0.329680000000001
2.54 sec,0.52197,0,0.368985805,0.414359577469046,0.368985805017888,0.35037
2.55 sec,0.539910000000001,4.44089209850063e-18,0.393563485000005,0.542958713049115,0.393563485028383,0.362490000000002
2.56 sec,0.56715,0.0001,0.47064084,0.640354822856004,0.470640840032248,0.40939
2.57 sec,0.59015,0.00072,0.4722659,0.5678318289023,0.472265900026004,0.45086
2.58 sec,0.61341,0.00126,0.47061558,0.571691613940803,0.470615580023094,0.46412
2.59 sec,0.63693,0.00172,0.500936125,0.749123602734759,0.500936125037078,0.47694
2.6 sec,0.66073,0.00208,0.572262195,0.686106697811133,0.572262195034634,0.51214
2.61 sec,0.68481,0.00234,0.572279035,0.672911335640414,0.572279035027267,0.55253
2.62 sec,0.70917,0.0025,0.596991435,0.797809057129229,0.596991435031448,0.577
2.63 sec,0.73385,0.00256,0.659140515,0.80975502799067,0.659140515032452,0.59988
2.64 sec,0.75884,0.00253,0.659148825,0.756447227995699,0.659148825027656,0.62837
2.65 sec,0.78418,0.00239,0.681761905,0.86265060449399,0.681761905031305,0.65838
2.66 sec,0.80987,0.00215,0.732601635,0.885833483927887,0.732601635032713,0.68836
2.67 sec,0.83595,0.00182,0.732609945,0.840261929924191,0.732609945028371,0.71638
2.68 sec,0.86243,0.0014,0.755189785,0.961762974921294,0.755189785033768,0.73895
2.69 sec,0.88942,0.00089,0.798123915,0.926069422857284,0.798123915030873,0.76077
2.7 sec,0.91671,0.00031,0.811691,0.988065550306479,0.811691000033958,0.78499
2.71 sec,0.94454,0,0.868238925,1.03352919822426,0.868238925034571,0.8111
2.72 sec,0.97288,0,0.869859375,0.983761022608821,0.869859375030126,0.83934
2.73 sec,1.00173,0,0.94167042,1.1672522580993,0.941670420037834,0.87022
