time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref
0 sec,0,0.01722,0,-0.758278145695364,-1.51655489381841e-14,0
0.01 sec,0,0.01565,0,-0.758278145695364,1.74604902612873e-20,0
0.02 sec,0,0.01409,0.00163348,-0.758278145695364,0.00163347999983665,0
0.03 sec,0,0.01256,0,-0.758278145695364,-2.4772631862513e-13,0
0.04 sec,0,0.01105,0,-0.758278145695364,1.14878223085905e-19,0
0.05 sec,0,0.00957,0,-0.758278145695364,2.51924472997925e-19,0
0.06 sec,0,0.00815,0,-0.758278145695364,6.21034796195625e-19,0
0.07 sec,0,0.00677,0,-0.758278145695364,1.70985180931856e-18,0
0.08 sec,0,0.00546,0,-0.758278145695364,5.12285526499401e-18,0
0.09 sec,0,0.00421,0,-0.758278145695364,1.62005639074226e-17,0
0.1 sec,0,0.00303,0.00167558,-0.758278145695364,0.00167557999983249,0
0.11 sec,0,0.00192,-0.00167558,-0.758278145695364,-0.00167558000008638,0
0.12 sec,0,0.0009,0,-0.758278145695364,2.54660875720347e-13,0
0.13 sec,0,0,0,-0.758278145695364,1.54421221361216e-15,0
0.14 sec,0,0,-0.00170084,-0.758278145695364,-0.0017008399998272,0
0.15 sec,0,0,-0.00170084,-0.758278145695364,-0.00170083999957384,0
0.16 sec,0,0,-0.00170926,-0.758278145695364,-0.0017092599995865,0
0.17 sec,0,0,-0.00170926,-0.758278145695364,-0.00170925999959191,0
0.18 sec,0,0,-0.00170926,-0.758278145695364,-0.00170925999959405,0
0.19 sec,0,0,-0.00170926,-0.758278145695364,-0.00170925999959473,0
0.2 sec,0,0,-0.00171768,-0.758278145695364,-0.00171767999959403,0
0.21 sec,0,0,-0.00171768,-0.758278145695364,-0.0017176799995928,0
0.22 sec,0,0,-0.00171768,-0.758278145695364,-0.00171767999959281,0
0.23 sec,0,0,-0.00171768,-0.758278145695364,-0.00171767999959282,0
0.24 sec,0,0,0,-0.758278145695364,2.35418021882206e-13,0
0.25 sec,0,0,-0.00169242,-0.758278145695364,-0.00169241999985584,0
0.26 sec,0,0,0,-0.758278145695364,2.31607268086353e-13,0
0.27 sec,0,0,0,-0.758278145695364,-2.50892514229439e-14,0
0.28 sec,0,0,0,-0.758278145695364,-2.50523885490794e-14,0
0.29 sec,0,0,0,-0.758278145695364,-2.50719041881842e-14,0
0.3 sec,0,0,0,-0.758278145695364,-2.50616042675456e-14,0
0.31 sec,0,0,0,-0.758278145695364,-2.50670794885166e-14,0
0.32 sec,0.01094,0,0,-0.758278145695364,-2.50641521426509e-14,0
0.33 sec,0.01192,0,0,-0.758278145695364,-2.5065724235801e-14,0
0.34 sec,0.01278,0,0,-0.758278145695364,-2.50649110841716e-14,0
0.35 sec,0.01336,0,0,-0.758278145695364,-2.5065290554932e-14,0
0.36 sec,0.01405,0,0,-0.758278145695364,-2.50650737144975e-14,0
0.37 sec,0.01444,0,0,-0.758278145695364,-2.50651821347148e-14,0
0.38 sec,0.01468,0,0,-0.758278145695364,-2.50651279246061e-14,0
0.39 sec,0.01474,0,0,-0.758278145695364,-2.50651821347148e-14,0
0.4 sec,0.01463,0,0,-0.758278145695364,-2.50651821347148e-14,0
0.41 sec,0.01441,0,-9.34807786734382e-18,-0.758278145695364,-2.50745062733981e-14,0
0.42 sec,0.01389,0,-0.001684,-0.758278145695364,-0.00168399999985667,0
0.43 sec,0.01326,0,-0.00167558,-0.758278145695364,-0.00167557999960212,0
0.44 sec,0.01248,0,-0.00167558,-0.758278145695364,-0.00167557999960342,0
0.45 sec,0.01153,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
0.46 sec,0.01044,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
0.47 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
0.48 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
0.49 sec,0,0,-0.00170084,-0.758278145695364,-0.00170083999960088,0
0.5 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999959958,0
0.51 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
0.52 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
0.53 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
0.54 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
0.55 sec,0,0,0,-0.758278145695364,2.29032938448004e-13,0
0.56 sec,0,0,0,-0.758278145695364,-2.50782467708932e-14,0
0.57 sec,0,0,0,-0.758278145695364,-2.50582432408109e-14,0
0.58 sec,0,0,0,-0.758278145695364,-2.50688142119926e-14,0
0.59 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999985751,0
0.6 sec,0,0,0,-0.758278145695364,2.29045081512336e-13,0
0.61 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999985753,0
0.62 sec,0,0,0,-0.758278145695364,2.2905635721493e-13,0
0.63 sec,0,0,0,-0.758278145695364,-2.50906608857682e-14,0
0.64 sec,0,0,0,-0.758278145695364,-2.50516838176673e-14,0
0.65 sec,0,0,0,-0.758278145695364,-2.50723378690532e-14,0
0.66 sec,0,0,0,-0.758278145695364,-2.50613874271111e-14,0
0.67 sec,0,0,0,-0.758278145695364,-2.50671879087339e-14,0
0.68 sec,0,0,0,-0.758278145695364,-2.50640979325423e-14,0
0.69 sec,0,0,-0.00168399999999998,-0.758278145695364,-0.00168399999985665,0
0.7 sec,0,0,0,-0.758278145695364,2.30323139033262e-13,0
0.71 sec,0,0,0,-0.758278145695364,-2.50854567153402e-14,0
0.72 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999985665,0
0.73 sec,0,0,-0.00170926,-0.758278145695364,-0.00170925999959876,0
0.74 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999959746,0
0.75 sec,0,0,0,-0.758278145695364,2.30311429649799e-13,0
0.76 sec,0,0,0,-0.758278145695364,-2.50792767629571e-14,0
0.77 sec,0,0,0,-0.758278145695364,-2.50577011397246e-14,0
0.78 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999985667,0
0.79 sec,0,0,0,-0.758278145695364,2.30324873756738e-13,0
0.8 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999985669,0
0.81 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999960127,0
0.82 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960215,0
0.83 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999960256,0
0.84 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960214,0
0.85 sec,0,0,0,-0.758278145695364,2.2903467317148e-13,0
0.86 sec,0,0,0,-0.758278145695364,-2.50792225528484e-14,0
0.87 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999985666,0
0.88 sec,0,0,0,-0.758278145695364,2.30318802224572e-13,0
0.89 sec,0,0,0,-0.758278145695364,-2.50832341008866e-14,0
0.9 sec,0,0,0,-0.758278145695364,-2.50556411555969e-14,0
0.91 sec,0,0,0,-0.758278145695364,-2.50702236748168e-14,0
0.92 sec,0,0,-0.0016419,-0.758278145695364,-0.00164189999986087,0
0.93 sec,0,0,0,-0.758278145695364,2.23936754556453e-13,0
0.94 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999985753,0
0.95 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960339,0
0.96 sec,0,0,-0.0016419,-0.758278145695364,-0.00164189999960679,0
0.97 sec,0,0,0,-0.758278145695364,2.23931550386025e-13,0
0.98 sec,0.01014,0,-0.00167558,-0.758278145695364,-0.00167557999985752,0
0.99 sec,0.01053,0,-0.0016419,-0.758278145695364,-0.00164189999960676,0
1 sec,0.01076,0,-0.00167558,-0.758278145695364,-0.00167557999960853,0
1.01 sec,0.01082,0,-0.00167558,-0.758278145695364,-0.0016755799996034,0
1.02 sec,0.01073,0.00013,-0.0016419,-0.758278145695364,-0.00164189999960678,0
1.03 sec,0.01048,0.00015,-0.00167558,-0.758278145695364,-0.00167557999960852,0
1.04 sec,0.01008,0.00013,-0.00167558,-0.758278145695364,-0.00167557999960341,0
1.05 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
1.06 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
1.07 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
1.08 sec,0,0,0,-0.758278145695364,2.29032938448004e-13,0
1.09 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999985752,0
1.1 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960339,0
1.11 sec,0,0,0,-0.758278145695364,2.29022096426279e-13,0
1.12 sec,0,0,0,-0.758278145695364,-2.50726631297049e-14,0
1.13 sec,0,0,-0.00168399999999996,-0.758278145695364,-0.00168399999985662,0
1.14 sec,0,0,0,-0.758278145695364,2.30320970628917e-13,0
1.15 sec,0,0,0,-0.758278145695364,-2.50842098828419e-14,0
1.16 sec,0,0,0,-0.758278145695364,-2.50550990545106e-14,0
1.17 sec,0,0,0,-0.758278145695364,-2.50704947253599e-14,0
1.18 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999985666,0
1.19 sec,0,0,0,-0.758278145695364,2.30321404309786e-13,0
1.2 sec,0,0,0,-0.758278145695364,-2.50845351434936e-14,0
1.21 sec,0,0,0,-0.758278145695364,-2.50549364241848e-14,0
1.22 sec,0,0,0,-0.758278145695364,-2.50706031455772e-14,0
1.23 sec,0,0,-0.00165032,-0.758278145695364,-0.00165031999986003,0
1.24 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999960639,0
1.25 sec,0,0,-0.001684,-0.758278145695364,-0.0016839999996013,0
1.26 sec,0,0,-0.00165032,-0.758278145695364,-0.00165031999960465,0
1.27 sec,0,0,0,-0.758278145695364,2.25200500608702e-13,0
1.28 sec,0,0,0,-0.758278145695364,-2.50771083586121e-14,0
1.29 sec,0,0,-0.00165032,-0.758278145695364,-0.00165031999986003,0
1.3 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999960639,0
1.31 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999960129,0
1.32 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960213,0
1.33 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960341,0
1.34 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999960257,0
1.35 sec,0,0,0,-0.758278145695364,2.30309261245454e-13,0
1.36 sec,0,0,-0.001684,-0.758278145695364,-0.00168399999985668,0
1.37 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999960211,0
1.38 sec,0,0,-0.00168399999999996,-0.758278145695364,-0.00168399999960254,0
1.39 sec,0,0,0,-0.758278145695364,2.3031533277762e-13,0
1.4 sec,0,0,-3.72053499120284e-17,-0.758278145695364,-2.51185790917097e-14,0
1.41 sec,0,0,-0.00167558,-0.758278145695364,-0.0016755799998575,0
1.42 sec,0,0.00046,-0.00167558,-0.758278145695364,-0.0016755799996034,0
1.43 sec,0,0.00094,-0.001684,-0.758278145695364,-0.00168399999960257,0
1.44 sec,0,0.00141,0,-0.758278145695364,2.30312297011537e-13,0
1.45 sec,0,0.00188,-0.00167558,-0.758278145695364,-0.00167557999985752,0
1.46 sec,0.01084,0.00234,-0.00167558,-0.758278145695364,-0.00167557999960339,0
1.47 sec,0.01189,0.00278,0,-0.758278145695364,2.29022096426279e-13,0
1.48 sec,0.01281,0.0032,0,-0.758278145695364,-2.50724462892704e-14,0
1.49 sec,0.01358,0.00359,0,-0.758278145695364,-2.50613332170024e-14,0
1.5 sec,0.01418,0.00396,0,-0.758278145695364,-2.50671879087339e-14,0
1.51 sec,0.0146,0.00428,0,-0.758278145695364,-2.50640979325423e-14,0
1.52 sec,0.01483,0.00457,0,-0.758278145695364,-2.5065724235801e-14,0
1.53 sec,0.01487,0.00482,0,-0.758278145695364,-2.5064856874063e-14,0
1.54 sec,0.01472,0.00502,0,-0.758278145695364,-2.50653447650406e-14,0
1.55 sec,0.01439,0.00518,0,-0.758278145695364,-2.50650737144975e-14,0
1.56 sec,0.01387,0.00528,0,-0.758278145695364,-2.50652363448234e-14,0
1.57 sec,0.01318,0.00533,0,-0.758278145695364,-2.50651279246061e-14,0
1.58 sec,0.01234,0.00533,0,-0.758278145695364,-2.50651821347148e-14,0
1.59 sec,0.01137,0.00527,0,-0.758278145695364,-2.50651821347148e-14,0
1.6 sec,0.0103,0.00516,0,-0.758278145695364,-2.50651821347148e-14,0
1.61 sec,0,0.005,0,-0.758278145695364,-2.50651821347148e-14,0
1.62 sec,0,0.00478,0,-0.758278145695364,-2.50651821347148e-14,0
1.63 sec,0,0.00456999999999999,-0.00168399999999996,-0.758278145695364,-0.00168399999985663,0
1.64 sec,0,0.00425999999999999,0,-0.758278145695364,2.30323139033262e-13,0
1.65 sec,0,0.00390999999999999,0,-0.758278145695364,-2.50852940850144e-14,0
1.66 sec,0,0.00350999999999999,-3.75792730267221e-17,-0.758278145695364,-2.50920703485924e-14,0
1.67 sec,0,0.00298,-0.00169242,-0.758278145695364,-0.00169241999985583,0
1.68 sec,0,0.00249,-0.00169242,-0.758278145695364,-0.00169241999959915,0
1.69 sec,0,0.00198,-0.001684,-0.758278145695364,-0.00168399999960002,0
1.7 sec,0,0.00143,0,-0.758278145695364,2.30314031735013e-13,0
1.71 sec,0,0.00087,-0.00169242,-0.758278145695364,-0.00169241999985584,0
1.72 sec,0,0.00028,-0.00169242,-0.758278145695364,-0.00169241999959915,0
1.73 sec,0,0,-0.00171768,-0.758278145695364,-0.00171767999959666,0
1.74 sec,0.0121,0,-0.00169242,-0.758278145695364,-0.00169241999959533,0
1.75 sec,0.01613,0,-0.00171768,-0.758278145695364,-0.00171767999959665,0
1.76 sec,0.02109,0,-0.00171768,-0.758278145695364,-0.00171767999959281,0
1.77 sec,0.02707,0,-0.00169242,-0.758278145695364,-0.00169241999959534,0
1.78 sec,0.03416,0,-0.00171768,-0.758278145695364,-0.00171767999959664,0
1.79 sec,0.04242,0,-8.42e-05,-0.758278145695364,-8.41999997561629e-05,0
