time,veh_u,veh_v,model_GRU_lon_0.pt,model_GRU_lon_1.pt,model_GRU_lon_10.pt,model_GRU_lon_11.pt,model_GRU_lon_12.pt,model_GRU_lon_13.pt,model_GRU_lon_14.pt,model_GRU_lon_15.pt,model_GRU_lon_16.pt,model_GRU_lon_17.pt,model_GRU_lon_18.pt,model_GRU_lon_19.pt,model_GRU_lon_2.pt,model_GRU_lon_20.pt,model_GRU_lon_21.pt,model_GRU_lon_22.pt,model_GRU_lon_23.pt,model_GRU_lon_24.pt,model_GRU_lon_25.pt,model_GRU_lon_26.pt,model_GRU_lon_27.pt,model_GRU_lon_28.pt,model_GRU_lon_29.pt,model_GRU_lon_3.pt,model_GRU_lon_30.pt,model_GRU_lon_31.pt,model_GRU_lon_4.pt,model_GRU_lon_5.pt,model_GRU_lon_6.pt,model_GRU_lon_7.pt,model_GRU_lon_8.pt,model_GRU_lon_9.pt
0.0,0.05073,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
0.01,0.04555,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
0.02,0.04022,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
0.03,0.0348,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
0.04,0.02931,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
0.05,0.0238,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
0.06,0.0183,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
0.07,0.01284,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
0.08,0.0,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
0.09,0.0,0.0,-5.633310317993164,-5.2093892097473145,-5.807574272155762,-5.050993919372559,-6.47213077545166,-5.392059803009033,-5.128288745880127,-5.165970325469971,-5.749516010284424,-5.773346424102783,-5.357998847961426,-5.0292253494262695,-5.196660995483398,-6.166623592376709,-6.102592945098877,-5.614393711090088,-5.091479301452637,-6.517045497894287,-6.388689041137695,-5.960809230804443,-4.990530967712402,-6.5888519287109375,-6.211694717407227,-4.635691165924072,-6.108121395111084,-5.055056095123291,-5.95506477355957,-5.697270393371582,-5.547264099121094,-4.9767889976501465,-6.247907638549805,-5.834242343902588
