time,model_GRU_lon_0.pt,model_GRU_lon_1.pt,model_GRU_lon_10.pt,model_GRU_lon_11.pt,model_GRU_lon_12.pt,model_GRU_lon_13.pt,model_GRU_lon_14.pt,model_GRU_lon_15.pt,model_GRU_lon_16.pt,model_GRU_lon_17.pt,model_GRU_lon_18.pt,model_GRU_lon_19.pt,model_GRU_lon_2.pt,model_GRU_lon_20.pt,model_GRU_lon_21.pt,model_GRU_lon_22.pt,model_GRU_lon_23.pt,model_GRU_lon_24.pt,model_GRU_lon_25.pt,model_GRU_lon_26.pt,model_GRU_lon_27.pt,model_GRU_lon_28.pt,model_GRU_lon_29.pt,model_GRU_lon_3.pt,model_GRU_lon_30.pt,model_GRU_lon_31.pt,model_GRU_lon_4.pt,model_GRU_lon_5.pt,model_GRU_lon_6.pt,model_GRU_lon_7.pt,model_GRU_lon_8.pt,model_GRU_lon_9.pt,veh_u,veh_v
0.0,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.01722
0.01,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.01565
0.02,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.01409
0.03,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.01256
0.04,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.01105
0.05,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.00957
0.06,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.00815
0.07,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.00677
0.08,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.00546
0.09,0.35574835538864136,0.54404616355896,0.29002636671066284,0.555955708026886,0.1560208648443222,0.4592631459236145,0.5796818733215332,0.44753575325012207,0.3177812695503235,0.31093350052833557,0.4624384045600891,0.602371871471405,0.5427640676498413,0.20989857614040375,0.2242334634065628,0.3557486832141876,0.5122010707855225,0.1485481858253479,0.16911524534225464,0.24839067459106445,0.6072857975959778,0.1391363888978958,0.20209960639476776,1.0225774049758911,0.21484246850013733,0.5311156511306763,0.25767868757247925,0.3362308144569397,0.3751465678215027,0.6317794919013977,0.19309765100479126,0.2933860719203949,0.0,0.00421
